watch_id,bt_device,TIR,RSSI
192.168.245.19,0WEY,18,958
192.168.245.19,0XVM,30,1710
192.168.245.19,10PW,15,810
192.168.245.19,0YRJ,18,986
192.168.245.19,B0SM,11,601
192.168.245.19,0XYP,12,580
192.168.245.213,0S0P,27,1626
192.168.245.213,B17X,29,1593
192.168.245.213,3LQF,1,64
192.168.245.213,0Y0H,33,1895
192.168.245.213,0T3P,19,1083
192.168.245.213,0M2P,17,1014
192.168.245.213,0YRJ,33,1910
192.168.245.213,0MHL,9,467
192.168.245.213,B0YJ,42,2640
192.168.245.213,0SEK,18,1072
192.168.245.213,10PW,20,1040
192.168.245.213,486A,12,644
192.168.245.213,0XYP,28,1612
192.168.245.213,0XVM,20,1156
192.168.245.213,GHBP,18,976
192.168.245.213,B0VD,16,866
192.168.245.213,48CT,28,1530
192.168.245.213,0RHZ,16,922
192.168.245.213,0MVY,20,1032
192.168.245.213,0XFJ,16,860
192.168.245.213,B0SM,6,304
192.168.245.213,0WCE,8,390
192.168.245.228,486A,28,1632
192.168.245.228,GHBP,38,1952
192.168.245.228,0Y0H,29,1666
192.168.245.228,3LQF,8,516
192.168.245.228,0SEK,32,1704
192.168.245.228,0M2P,26,1332
192.168.245.228,0RHZ,33,1865
192.168.245.228,B0YJ,52,2822
192.168.245.228,B17X,43,2440
192.168.245.228,0XFJ,30,1578
192.168.245.228,0WCE,35,1768
192.168.245.228,48CT,38,2190
192.168.245.228,0XVM,18,914
192.168.245.228,0YRJ,28,1428
192.168.245.228,0S0P,26,1378
192.168.245.228,0XYP,28,1574
192.168.245.228,0MVY,24,1364
192.168.245.228,0MHL,20,1138
192.168.245.228,0WEY,44,2372
192.168.245.228,B0VD,34,1878
192.168.245.228,10PW,32,2124
192.168.245.228,B0SM,12,668
192.168.245.242,3LQF,15,821
192.168.245.242,10PW,35,1687
192.168.245.242,0T3P,33,1678
192.168.245.242,0WEY,39,2184
192.168.245.242,0YRJ,25,1378
192.168.245.242,B0SM,31,1635
192.168.245.242,0WCE,9,432
192.168.245.242,GHBP,26,1372
192.168.245.242,0XVM,14,688
192.168.245.242,B0YJ,78,4138
192.168.245.242,B17X,20,1136
192.168.245.242,0S0P,32,1754
192.168.245.242,0MVY,52,2882
192.168.245.242,48CT,38,1964
192.168.245.242,0XYP,36,2038
192.168.245.242,0M2P,40,2128
192.168.245.242,0MHL,16,842
192.168.245.242,0Y0H,26,1344
192.168.245.242,486A,22,1204
192.168.245.242,0XFJ,22,1126
192.168.245.242,B0VD,26,1318
192.168.245.242,0RHZ,26,1312
192.168.245.34,0MHL,10,584
192.168.245.34,0WEY,36,1938
192.168.245.34,48CT,30,1786
192.168.245.34,B17X,41,2424
192.168.245.34,0MVY,4,192
192.168.245.34,0S0P,32,1786
192.168.245.34,B0YJ,32,1806
192.168.245.34,0T3P,38,1926
192.168.245.34,0XFJ,20,968
192.168.245.34,0M2P,22,1224
192.168.245.34,0XVM,30,1758
192.168.245.34,10PW,20,1108
192.168.245.34,0Y0H,36,2110
192.168.245.34,0XYP,24,1166
192.168.245.34,B0VD,24,1120
192.168.245.34,0RHZ,30,1524
192.168.245.34,0SEK,8,368
192.168.245.34,486A,20,1144
192.168.245.34,B0SM,8,372
192.168.245.34,GHBP,18,994
192.168.245.34,0YRJ,24,1218
192.168.245.34,3LQF,4,248
192.168.245.41,B0YJ,12,653
192.168.245.41,B0SM,11,576
192.168.245.41,0M2P,12,617
192.168.245.41,486A,10,633
192.168.245.41,0WCE,17,986
192.168.245.41,B0VD,13,694
192.168.245.41,0XFJ,11,552
192.168.245.41,0SEK,9,434
192.168.245.41,48CT,23,1349
192.168.245.41,0Y0H,14,746
192.168.245.41,0MVY,10,474
192.168.245.41,0S0P,15,758
192.168.245.41,0RHZ,10,478
192.168.245.41,0YRJ,8,390
